Liechtenstein,166022
Monaco,165421
Luxembourg,106806
Bermuda,102192
Macao S.A.R,80893
Switzerland,80101
Norway,75295
Iceland,73060
Ireland,69604
Cayman Islands,65472
Qatar,63506
United States of America,60055
Australia,57613
Denmark,57533
Singapore,56737
Sweden,54043
San Marino,50588
Greenland,49398
Netherlands,48754
Austria,47718
Hong Kong S.A.R.,46390
Finland,45670
Germany,44976
Canada,44974
Belgium,43289
New Zealand,42936
Israel,42452
United Arab Emirates,40699
United Kingdom,39758
Andorra,39153
France,38415
Japan,38220
New Caledonia,35815
Italy,32747
British Virgin Islands,31917
South Korea,30025
The Bahamas,29825
Malta,29137
Kuwait,28897
Turks and Caicos Islands,28689
Puerto Rico,28451
Spain,28354
Brunei,28291
Cyprus,25790
Aruba,25655
Bahrain,23688
Slovenia,23296
Saudi Arabia,20761
Czech Republic,20326
French Polynesia,19807
Estonia,19793
Portugal,18882
Anguilla,18861
Greece,18198
Cook Islands,17798
Slovakia,17552
Uruguay,17120
Saint Kitts and Nevis,16818
Barbados,16494
Lithuania,16450
Trinidad and Tobago,16145
Seychelles,15693
Latvia,15625
Chile,15347
Oman,15267
Panama,15088
Antigua and Barbuda,14803
Argentina,14400
Hungary,14376
Poland,13786
Palau,13417
Croatia,13177
Costa Rica,11734
Montserrat,11582
Russia,10956
Romania,10763
Mauritius,10565
Turkey,10546
Grenada,10451
Malaysia,9951
Equatorial Guinea,9850
Brazil,9821
Saint Lucia,9607
Mexico,8967
Lebanon,8778
Kazakhstan,8756
China,8682
Cuba,8433
Bulgaria,8218
Venezuela,7977
Botswana,7596
Gabon,7221
Dominican Republic,7052
Saint Vincent and the Grenadines,6980
Montenegro,6958
Suriname,6757
Dominica,6719
Thailand,6595
Turkmenistan,6585
Peru,6572
Colombia,6302
Ecuador,6273
South Africa,6151
Republic of Serbia,5912
Belarus,5750
Iran,5680
Macedonia,5415
Fiji,5382
Namibia,5227
Bosnia and Herzegovina,5181
Jamaica,5130
Belize,5077
Iraq,4756
Guyana,4555
Guatemala,4471
Albania,4450
Samoa,4356
Paraguay,4322
Angola,4247
Jordan,4196
Sri Lanka,4184
Azerbaijan,4146
Kosovo,4116
Algeria,4055
Tonga,3950
Libya,3942
Armenia,3937
El Salvador,3889
Georgia,3875
Indonesia,3847
Marshall Islands,3753
Mongolia,3620
Tunisia,3475
Bolivia,3394
Cape Verde,3245
Federated States of Micronesia,3188
Vanuatu,3128
Bhutan,3173
Morocco,3070
Philippines,2989
Sudan,2967
Palestine,2946
Papua New Guinea,2667
Ukraine,2536
Honduras,2480
Laos,2457
Vietnam,2342
East Timor,2279
Nicaragua,2222
Republic of Congo,2147
Ghana,2046
Moldova,2006
Egypt,2000
Solomon Islands,1982
Nigeria,1969
Djibouti,1928
India,1923
Sao Tome and Principe,1921
Kiribati,1694
Uzbekistan,1557
Pakistan,1534
Zambia,1513
Kenya,1508
Bangladesh,1492
Cameroon,1452
Cambodia,1382
Senegal,1333
Comoros,1330
Myanmar,1257
Kyrgyzstan,1251
Lesotho,1178
Eritrea,1147
Mauritania,1129
Zimbabwe,1091
Yemen,990
United Republic of Tanzania,934
Nepal,849
Syria,831
Benin,826
Mali,822
Guinea,803
Tajikistan,801
Haiti,776
Rwanda,748
Guinea Bissau,724
Ethiopia,720
Chad,719
Gambia,709
North Korea,685
Uganda,646
Burkina Faso,642
Afghanistan,619
Togo,614
Liberia,584
Madagascar,517
Sierra Leone,495
Democratic Republic of the Congo,463
South Sudan,453
Central African Republic,428
Mozambique,426
Niger,378
Malawi,340
Burundi,290
Somalia,104